Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2016-01-26,Apple Health,9497.0,0.0,7082.0,0.0
2016-01-27,Apple Health,6844.0,0.0,5297.0,0.0
2016-01-28,Apple Health,8610.0,0.0,6265.0,0.0
2016-01-29,Apple Health,5160.0,0.0,3845.0,0.0
2016-01-30,Apple Health,8553.0,0.0,6949.0,0.0
2016-01-31,Apple Health,92.0,0.0,86.0,0.0
2016-02-01,Apple Health,6873.0,0.0,5097.0,0.0
2016-02-02,Apple Health,5620.0,0.0,4273.0,0.0
2016-02-03,Apple Health,6049.0,0.0,4410.0,0.0
2016-02-04,Apple Health,7177.0,0.0,5463.0,0.0
2016-02-05,Apple Health,6687.0,0.0,5429.0,0.0
2016-02-06,Apple Health,41.0,0.0,42.0,0.0
2016-02-07,Apple Health,85.0,0.0,75.0,0.0
2016-02-08,Apple Health,590.0,0.0,536.0,0.0
2016-02-09,Apple Health,1926.0,0.0,1462.0,0.0
2016-02-10,Apple Health,226.0,0.0,262.0,0.0
2016-02-11,Apple Health,4412.0,0.0,3118.0,0.0
2016-02-12,Apple Health,6982.0,0.0,5214.0,0.0
2016-02-13,Apple Health,1167.0,0.0,964.0,0.0
2016-02-14,Apple Health,44.0,0.0,49.0,0.0
2016-02-15,Apple Health,2493.0,0.0,1815.0,0.0
2016-02-16,Apple Health,3234.0,0.0,2117.0,0.0
2016-02-17,Apple Health,10245.0,0.0,7576.0,0.0
2016-02-18,Apple Health,6235.0,0.0,4475.0,0.0
2016-02-19,Apple Health,6249.0,0.0,4238.0,0.0
2016-02-20,Apple Health,2177.0,0.0,1725.0,0.0
2016-02-21,Apple Health,243.0,0.0,230.0,0.0
2016-02-22,Apple Health,12339.0,0.0,9467.0,0.0
2016-02-23,Apple Health,3703.0,0.0,2329.0,0.0
2016-02-24,Apple Health,4361.0,0.0,3068.0,0.0
2016-02-25,Apple Health,5076.0,0.0,3724.0,0.0
2016-02-26,Apple Health,7265.0,0.0,5107.0,0.0
2016-02-27,Apple Health,1562.0,0.0,1069.0,0.0
2016-02-28,Apple Health,265.0,0.0,221.0,0.0
2016-02-29,Apple Health,6517.0,0.0,4893.0,0.0
2016-03-01,Apple Health,2239.0,0.0,1847.0,0.0
2016-03-02,Apple Health,4217.0,0.0,3067.0,0.0
2016-03-03,Apple Health,4385.0,0.0,3008.0,0.0
2016-03-04,Apple Health,5179.0,0.0,3844.0,0.0
2016-03-05,Apple Health,212.0,0.0,184.0,0.0
2016-03-06,Apple Health,4341.0,0.0,3331.0,0.0
2016-03-07,Apple Health,3360.0,0.0,2182.0,0.0
2016-03-08,Apple Health,4092.0,0.0,2605.0,0.0
2016-03-09,Apple Health,5988.0,0.0,4435.0,0.0
2016-03-10,Apple Health,4713.0,0.0,3412.0,0.0
2016-03-11,Apple Health,6278.0,0.0,4438.0,0.0
2016-03-12,Apple Health,472.0,0.0,429.0,0.0
2016-03-13,Apple Health,2257.0,0.0,1524.0,0.0
2016-03-14,Apple Health,7533.0,0.0,5310.0,0.0
2016-03-15,Apple Health,5467.0,0.0,3867.0,0.0
2016-03-16,Apple Health,7202.0,0.0,5342.0,0.0
2016-03-17,Apple Health,7306.0,0.0,5019.0,0.0
2016-03-18,Apple Health,4679.0,0.0,3371.0,0.0
2016-03-19,Apple Health,6827.0,0.0,4813.0,0.0
2016-03-20,Apple Health,296.0,0.0,327.0,0.0
2016-03-21,Apple Health,7538.0,0.0,5776.0,0.0
2016-03-22,Apple Health,7463.0,0.0,5431.0,0.0
2016-03-23,Apple Health,3581.0,0.0,2466.0,0.0
2016-03-24,Apple Health,5312.0,0.0,3885.0,0.0
2016-03-25,Apple Health,4106.0,0.0,2879.0,0.0
2016-03-26,Apple Health,313.0,0.0,234.0,0.0
2016-03-27,Apple Health,2844.0,0.0,1931.0,0.0
2016-03-28,Apple Health,5595.0,0.0,3691.0,0.0
2016-03-29,Apple Health,5016.0,0.0,3270.0,0.0
2016-03-30,Apple Health,6312.0,0.0,4276.0,0.0
2016-03-31,Apple Health,5531.0,0.0,3747.0,0.0
2016-04-01,Apple Health,5357.0,0.0,3610.0,0.0
2016-04-02,Apple Health,7615.0,0.0,4968.0,0.0
2016-04-03,Apple Health,934.0,0.0,674.0,0.0
2016-04-04,Apple Health,3486.0,0.0,2191.0,0.0
2016-04-05,Apple Health,3707.0,0.0,2347.0,0.0
2016-04-06,Apple Health,6176.0,0.0,4262.0,0.0
2016-04-07,Apple Health,6518.0,0.0,4305.0,0.0
2016-04-08,Apple Health,5245.0,0.0,3240.0,0.0
2016-04-09,Apple Health,3195.0,0.0,2020.0,0.0
2016-04-10,Apple Health,173.0,0.0,128.0,0.0
2016-04-11,Apple Health,5200.0,0.0,3859.0,0.0
2016-04-12,Apple Health,5655.0,0.0,3669.0,0.0
2016-04-13,Apple Health,4612.0,0.0,3153.0,0.0
2016-04-14,Apple Health,4601.0,0.0,2989.0,0.0
2016-04-15,Apple Health,7328.0,0.0,5313.0,0.0
2016-04-16,Apple Health,3728.0,0.0,2617.0,0.0
2016-04-17,Apple Health,170.0,0.0,118.0,0.0
2016-04-18,Apple Health,3475.0,0.0,2129.0,0.0
2016-04-19,Apple Health,6781.0,0.0,4661.0,0.0
2016-04-20,Apple Health,6238.0,0.0,4019.0,0.0
2016-04-21,Apple Health,4337.0,0.0,2744.0,0.0
2016-04-22,Apple Health,3792.0,0.0,2589.0,0.0
2016-04-23,Apple Health,89.0,0.0,66.0,0.0
